,date,format,deck,wins,games
352,2023-06-26,LTR,Abzan (GWB),37,63
353,2023-06-26,LTR,Esper (WUB),8,15
354,2023-06-26,LTR,Grixis (UBR),43,62
355,2023-06-26,LTR,Jund (BRG),17,38
356,2023-06-26,LTR,Naya (RGW),5,15
357,2023-06-26,LTR,Bant (GWU),10,17
358,2023-06-26,LTR,Jeskai (WUR) + Splash,3,6
359,2023-06-26,LTR,Sultai (UBG) + Splash,9,12
360,2023-06-26,LTR,Mardu (BRW) + Splash,7,9
361,2023-06-26,LTR,Temur (RGU) + Splash,0,0
362,2023-06-26,LTR,Abzan (GWB) + Splash,9,12
363,2023-06-26,LTR,Esper (WUB) + Splash,2,8
364,2023-06-26,LTR,Grixis (UBR) + Splash,0,3
365,2023-06-26,LTR,Jund (BRG) + Splash,1,3
366,2023-06-26,LTR,Naya (RGW) + Splash,0,0
367,2023-06-26,LTR,Bant (GWU) + Splash,0,0
368,2023-06-26,LTR,Four-color,17,27
369,2023-06-26,LTR,Four-color + Splash,4,7
370,2023-06-26,LTR,Five-color,0,0
371,2023-06-27,LTR,Mono-White,0,0
372,2023-06-27,LTR,Mono-Blue,0,0
373,2023-06-27,LTR,Mono-Black,11,20
374,2023-06-27,LTR,Mono-Red,9,14
375,2023-06-27,LTR,Mono-Green,0,0
376,2023-06-27,LTR,Mono-White + Splash,4,8
377,2023-06-27,LTR,Mono-Blue + Splash,0,0
378,2023-06-27,LTR,Mono-Black + Splash,11,14
379,2023-06-27,LTR,Mono-Red + Splash,1,4
380,2023-06-27,LTR,Mono-Green + Splash,0,0
381,2023-06-27,LTR,Azorius (WU),71,128
382,2023-06-27,LTR,Dimir (UB),268,424
383,2023-06-27,LTR,Rakdos (BR),739,1150
384,2023-06-27,LTR,Gruul (RG),36,57
385,2023-06-27,LTR,Selesnya (GW),100,161
386,2023-06-27,LTR,Orzhov (WB),191,322
387,2023-06-27,LTR,Golgari (BG),108,179
388,2023-06-27,LTR,Simic (GU),23,47
389,2023-06-27,LTR,Izzet (UR),307,486
390,2023-06-27,LTR,Boros (RW),243,407
391,2023-06-27,LTR,Azorius (WU) + Splash,16,34
392,2023-06-27,LTR,Dimir (UB) + Splash,81,146
393,2023-06-27,LTR,Rakdos (BR) + Splash,96,170
394,2023-06-27,LTR,Gruul (RG) + Splash,21,44
395,2023-06-27,LTR,Selesnya (GW) + Splash,44,77
396,2023-06-27,LTR,Orzhov (WB) + Splash,50,92
397,2023-06-27,LTR,Golgari (BG) + Splash,34,70
398,2023-06-27,LTR,Simic (GU) + Splash,21,43
399,2023-06-27,LTR,Izzet (UR) + Splash,85,154
400,2023-06-27,LTR,Boros (RW) + Splash,26,41
401,2023-06-27,LTR,Jeskai (WUR),6,11
402,2023-06-27,LTR,Sultai (UBG),2,5
403,2023-06-27,LTR,Mardu (BRW),28,56
404,2023-06-27,LTR,Temur (RGU),4,5
405,2023-06-27,LTR,Abzan (GWB),35,53
406,2023-06-27,LTR,Esper (WUB),14,23
407,2023-06-27,LTR,Grixis (UBR),62,113
408,2023-06-27,LTR,Jund (BRG),7,9
409,2023-06-27,LTR,Naya (RGW),14,18
410,2023-06-27,LTR,Bant (GWU),0,0
411,2023-06-27,LTR,Jeskai (WUR) + Splash,0,1
412,2023-06-27,LTR,Sultai (UBG) + Splash,2,5
413,2023-06-27,LTR,Mardu (BRW) + Splash,13,15
414,2023-06-27,LTR,Temur (RGU) + Splash,7,8
415,2023-06-27,LTR,Abzan (GWB) + Splash,9,12
416,2023-06-27,LTR,Esper (WUB) + Splash,5,6
417,2023-06-27,LTR,Grixis (UBR) + Splash,0,0
418,2023-06-27,LTR,Jund (BRG) + Splash,7,13
419,2023-06-27,LTR,Naya (RGW) + Splash,9,25
420,2023-06-27,LTR,Bant (GWU) + Splash,4,10
421,2023-06-27,LTR,Four-color,14,20
422,2023-06-27,LTR,Four-color + Splash,6,18
423,2023-06-27,LTR,Five-color,0,0
424,2023-06-28,LTR,Mono-White,0,0
425,2023-06-28,LTR,Mono-Blue,1,4
426,2023-06-28,LTR,Mono-Black,1,3
427,2023-06-28,LTR,Mono-Red,0,0
428,2023-06-28,LTR,Mono-Green,0,0
429,2023-06-28,LTR,Mono-White + Splash,1,1
430,2023-06-28,LTR,Mono-Blue + Splash,4,7
431,2023-06-28,LTR,Mono-Black + Splash,11,16
432,2023-06-28,LTR,Mono-Red + Splash,0,0
433,2023-06-28,LTR,Mono-Green + Splash,0,0
434,2023-06-28,LTR,Azorius (WU),65,108
435,2023-06-28,LTR,Dimir (UB),305,479
436,2023-06-28,LTR,Rakdos (BR),564,889
437,2023-06-28,LTR,Gruul (RG),16,31
438,2023-06-28,LTR,Selesnya (GW),40,84
439,2023-06-28,LTR,Orzhov (WB),253,422
440,2023-06-28,LTR,Golgari (BG),56,97
441,2023-06-28,LTR,Simic (GU),53,77
442,2023-06-28,LTR,Izzet (UR),292,477
443,2023-06-28,LTR,Boros (RW),202,335
444,2023-06-28,LTR,Azorius (WU) + Splash,18,42
445,2023-06-28,LTR,Dimir (UB) + Splash,87,162
446,2023-06-28,LTR,Rakdos (BR) + Splash,79,144
447,2023-06-28,LTR,Gruul (RG) + Splash,15,24
448,2023-06-28,LTR,Selesnya (GW) + Splash,42,66
449,2023-06-28,LTR,Orzhov (WB) + Splash,54,83
450,2023-06-28,LTR,Golgari (BG) + Splash,58,97
451,2023-06-28,LTR,Simic (GU) + Splash,9,20
452,2023-06-28,LTR,Izzet (UR) + Splash,89,149
453,2023-06-28,LTR,Boros (RW) + Splash,12,16
454,2023-06-28,LTR,Jeskai (WUR),7,18
455,2023-06-28,LTR,Sultai (UBG),2,8
456,2023-06-28,LTR,Mardu (BRW),5,15
457,2023-06-28,LTR,Temur (RGU),0,3
458,2023-06-28,LTR,Abzan (GWB),8,18
459,2023-06-28,LTR,Esper (WUB),22,44
460,2023-06-28,LTR,Grixis (UBR),53,79
461,2023-06-28,LTR,Jund (BRG),12,22
462,2023-06-28,LTR,Naya (RGW),7,14
463,2023-06-28,LTR,Bant (GWU),2,5
464,2023-06-28,LTR,Jeskai (WUR) + Splash,0,0
465,2023-06-28,LTR,Sultai (UBG) + Splash,0,0
466,2023-06-28,LTR,Mardu (BRW) + Splash,1,1
467,2023-06-28,LTR,Temur (RGU) + Splash,0,0
468,2023-06-28,LTR,Abzan (GWB) + Splash,10,12
469,2023-06-28,LTR,Esper (WUB) + Splash,7,7
470,2023-06-28,LTR,Grixis (UBR) + Splash,0,0
471,2023-06-28,LTR,Jund (BRG) + Splash,0,0
472,2023-06-28,LTR,Naya (RGW) + Splash,3,6
473,2023-06-28,LTR,Bant (GWU) + Splash,2,5
474,2023-06-28,LTR,Four-color,3,3
475,2023-06-28,LTR,Four-color + Splash,5,8
476,2023-06-28,LTR,Five-color,0,0
477,2023-06-29,LTR,Mono-White,0,0
478,2023-06-29,LTR,Mono-Blue,0,0
479,2023-06-29,LTR,Mono-Black,0,0
480,2023-06-29,LTR,Mono-Red,5,8
481,2023-06-29,LTR,Mono-Green,0,0
482,2023-06-29,LTR,Mono-White + Splash,0,0
483,2023-06-29,LTR,Mono-Blue + Splash,9,13
484,2023-06-29,LTR,Mono-Black + Splash,0,0
485,2023-06-29,LTR,Mono-Red + Splash,0,0
486,2023-06-29,LTR,Mono-Green + Splash,0,0
487,2023-06-29,LTR,Azorius (WU),40,70
488,2023-06-29,LTR,Dimir (UB),234,398
489,2023-06-29,LTR,Rakdos (BR),654,1038
490,2023-06-29,LTR,Gruul (RG),54,80
491,2023-06-29,LTR,Selesnya (GW),38,77
492,2023-06-29,LTR,Orzhov (WB),261,457
493,2023-06-29,LTR,Golgari (BG),75,134
494,2023-06-29,LTR,Simic (GU),44,77
495,2023-06-29,LTR,Izzet (UR),326,514
496,2023-06-29,LTR,Boros (RW),198,340
497,2023-06-29,LTR,Azorius (WU) + Splash,7,17
498,2023-06-29,LTR,Dimir (UB) + Splash,91,166
499,2023-06-29,LTR,Rakdos (BR) + Splash,55,104
500,2023-06-29,LTR,Gruul (RG) + Splash,13,28
501,2023-06-29,LTR,Selesnya (GW) + Splash,28,37
502,2023-06-29,LTR,Orzhov (WB) + Splash,42,83
503,2023-06-29,LTR,Golgari (BG) + Splash,52,85
504,2023-06-29,LTR,Simic (GU) + Splash,7,14
505,2023-06-29,LTR,Izzet (UR) + Splash,93,154
506,2023-06-29,LTR,Boros (RW) + Splash,7,13
507,2023-06-29,LTR,Jeskai (WUR),7,14
508,2023-06-29,LTR,Sultai (UBG),5,6
509,2023-06-29,LTR,Mardu (BRW),11,23
510,2023-06-29,LTR,Temur (RGU),0,0
