,date,format,deck,wins,games
413,2023-06-27,LTR,Mardu (BRW) + Splash,19,27
414,2023-06-27,LTR,Temur (RGU) + Splash,27,50
415,2023-06-27,LTR,Abzan (GWB) + Splash,26,47
416,2023-06-27,LTR,Esper (WUB) + Splash,6,11
417,2023-06-27,LTR,Grixis (UBR) + Splash,13,20
418,2023-06-27,LTR,Jund (BRG) + Splash,8,17
419,2023-06-27,LTR,Naya (RGW) + Splash,44,96
420,2023-06-27,LTR,Bant (GWU) + Splash,8,21
421,2023-06-27,LTR,Four-color,25,49
422,2023-06-27,LTR,Four-color + Splash,22,52
423,2023-06-27,LTR,Five-color,4,9
424,2023-06-28,LTR,Mono-White,4,7
425,2023-06-28,LTR,Mono-Blue,2,8
426,2023-06-28,LTR,Mono-Black,30,42
427,2023-06-28,LTR,Mono-Red,2,5
428,2023-06-28,LTR,Mono-Green,0,0
429,2023-06-28,LTR,Mono-White + Splash,10,15
430,2023-06-28,LTR,Mono-Blue + Splash,16,31
431,2023-06-28,LTR,Mono-Black + Splash,22,40
432,2023-06-28,LTR,Mono-Red + Splash,15,29
433,2023-06-28,LTR,Mono-Green + Splash,10,17
434,2023-06-28,LTR,Azorius (WU),429,764
435,2023-06-28,LTR,Dimir (UB),1170,2090
436,2023-06-28,LTR,Rakdos (BR),2698,4530
437,2023-06-28,LTR,Gruul (RG),187,342
438,2023-06-28,LTR,Selesnya (GW),268,539
439,2023-06-28,LTR,Orzhov (WB),1242,2135
440,2023-06-28,LTR,Golgari (BG),379,679
441,2023-06-28,LTR,Simic (GU),349,688
442,2023-06-28,LTR,Izzet (UR),1411,2536
443,2023-06-28,LTR,Boros (RW),1130,2041
444,2023-06-28,LTR,Azorius (WU) + Splash,129,258
445,2023-06-28,LTR,Dimir (UB) + Splash,403,799
446,2023-06-28,LTR,Rakdos (BR) + Splash,480,920
447,2023-06-28,LTR,Gruul (RG) + Splash,113,205
448,2023-06-28,LTR,Selesnya (GW) + Splash,254,504
449,2023-06-28,LTR,Orzhov (WB) + Splash,270,522
450,2023-06-28,LTR,Golgari (BG) + Splash,220,417
451,2023-06-28,LTR,Simic (GU) + Splash,156,332
452,2023-06-28,LTR,Izzet (UR) + Splash,320,580
453,2023-06-28,LTR,Boros (RW) + Splash,135,245
454,2023-06-28,LTR,Jeskai (WUR),41,100
455,2023-06-28,LTR,Sultai (UBG),19,55
456,2023-06-28,LTR,Mardu (BRW),84,170
457,2023-06-28,LTR,Temur (RGU),12,29
458,2023-06-28,LTR,Abzan (GWB),129,265
459,2023-06-28,LTR,Esper (WUB),71,156
460,2023-06-28,LTR,Grixis (UBR),217,434
461,2023-06-28,LTR,Jund (BRG),61,134
462,2023-06-28,LTR,Naya (RGW),38,75
463,2023-06-28,LTR,Bant (GWU),32,67
464,2023-06-28,LTR,Jeskai (WUR) + Splash,5,14
465,2023-06-28,LTR,Sultai (UBG) + Splash,4,6
466,2023-06-28,LTR,Mardu (BRW) + Splash,6,10
467,2023-06-28,LTR,Temur (RGU) + Splash,3,11
468,2023-06-28,LTR,Abzan (GWB) + Splash,42,83
469,2023-06-28,LTR,Esper (WUB) + Splash,9,15
470,2023-06-28,LTR,Grixis (UBR) + Splash,21,30
471,2023-06-28,LTR,Jund (BRG) + Splash,11,25
472,2023-06-28,LTR,Naya (RGW) + Splash,29,60
473,2023-06-28,LTR,Bant (GWU) + Splash,26,48
474,2023-06-28,LTR,Four-color,16,37
475,2023-06-28,LTR,Four-color + Splash,16,34
476,2023-06-28,LTR,Five-color,0,0
477,2023-06-29,LTR,Mono-White,3,6
478,2023-06-29,LTR,Mono-Blue,4,7
479,2023-06-29,LTR,Mono-Black,18,24
480,2023-06-29,LTR,Mono-Red,13,22
481,2023-06-29,LTR,Mono-Green,0,0
482,2023-06-29,LTR,Mono-White + Splash,6,16
483,2023-06-29,LTR,Mono-Blue + Splash,22,50
484,2023-06-29,LTR,Mono-Black + Splash,32,53
485,2023-06-29,LTR,Mono-Red + Splash,27,35
486,2023-06-29,LTR,Mono-Green + Splash,27,52
487,2023-06-29,LTR,Azorius (WU),440,807
488,2023-06-29,LTR,Dimir (UB),1046,1881
489,2023-06-29,LTR,Rakdos (BR),2707,4541
490,2023-06-29,LTR,Gruul (RG),200,363
491,2023-06-29,LTR,Selesnya (GW),337,662
492,2023-06-29,LTR,Orzhov (WB),1247,2241
493,2023-06-29,LTR,Golgari (BG),433,806
494,2023-06-29,LTR,Simic (GU),299,601
495,2023-06-29,LTR,Izzet (UR),1483,2567
496,2023-06-29,LTR,Boros (RW),1232,2211
497,2023-06-29,LTR,Azorius (WU) + Splash,109,248
498,2023-06-29,LTR,Dimir (UB) + Splash,476,944
499,2023-06-29,LTR,Rakdos (BR) + Splash,391,766
500,2023-06-29,LTR,Gruul (RG) + Splash,135,257
501,2023-06-29,LTR,Selesnya (GW) + Splash,234,444
502,2023-06-29,LTR,Orzhov (WB) + Splash,315,577
503,2023-06-29,LTR,Golgari (BG) + Splash,249,467
504,2023-06-29,LTR,Simic (GU) + Splash,155,336
505,2023-06-29,LTR,Izzet (UR) + Splash,407,777
